time_id,work_id,phase,task_scope,clock_basis,duration_value,duration_unit,target_definition,threshold_rule_available,evaluator_or_checkpoint,boundary_start,boundary_end,partial_scope,evidence_locator,source_grade,reporting_status,interpretation_limit
TIME-EFF-0078,johannink2019residual,physical_run,8k-sample real residual-policy run,elapsed_wall_clock,approximately 3,h,final residual-policy result,no,final variant endpoint,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one variant,PDF pp.5–6 Sec. IV and physical result figures,A,source_reported_approximate,Run duration for one variant; no verified first-passage target.
TIME-EFF-0079,zhou2023realorl,not_reported,full collection program,not_reported,NR,NR,NR,no,NR,NR,NR,no,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,A,not_reported,"More than 800 robot-hours are reported, but program elapsed wall-clock is not."
TIME-EFF-0080,zhou2023realorl,upstream_data_collection,combined training/evaluation corpus,aggregate_robot_hours,>800,robot-h,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: training and evaluation combined,PDF pp.1–2 abstract/introduction; p.5 dataset table; p.10 appendix summary; p.16 compute appendix,A,source_reported_approximate,Aggregate robot-hours; platform count and elapsed program span are not reported.
TIME-EFF-0081,wurss2023locality,target_online_learning,stable walking elapsed clock,elapsed_wall_clock,approximately 20,min,stable walking and task reward,source_declared_qualitative,physical learning curve; four flat-ground repeats,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: online phase,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,A,source_reported_approximate,Source-specific boundary; not a full lifecycle total.
TIME-EFF-0082,wurss2023locality,target_online_learning,stable walking physical interaction,physical_interaction_time,approximately 17,min,stable walking and task reward,source_declared_qualitative,same physical learning curve,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: interaction subset,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,A,source_reported_approximate,Overlaps the 20-minute elapsed clock; do not add.
TIME-EFF-0083,wurss2023locality,model_training,JIT startup,compute_wall_clock,approximately 1,min,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: startup component,PDF p.1 abstract; p.2 Table I; p.3 system; pp.5–6 Secs. IV–V,A,source_reported_approximate,Compute startup component; overlaps elapsed training and is not target time.
TIME-EFF-0084,lancaster2024modemv2,target_online_learning,planar assembly,physical_interaction_time,8,min,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,A,source_reported_approximate,Physical interaction/data-collection time; setup and demonstration collection excluded.
TIME-EFF-0085,lancaster2024modemv2,target_online_learning,incline assembly,physical_interaction_time,8,min,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,A,source_reported_approximate,Physical interaction/data-collection time; setup and demonstration collection excluded.
TIME-EFF-0086,lancaster2024modemv2,target_online_learning,in-hand reorientation,physical_interaction_time,70,min,about 40% task success,yes_source_explicit,30-trial task evaluation / time curve,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,A,source_reported_approximate,Physical interaction/data-collection time; setup and demonstration collection excluded.
TIME-EFF-0087,lancaster2024modemv2,target_online_learning,bin picking,physical_interaction_time,140,min,NR,no,NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: one task,PDF pp.5–6 Sec. IV and time figure; pp.9–10 appendix,A,source_reported_approximate,Physical interaction/data-collection time; setup and demonstration collection excluded.
TIME-EFF-0088,sharma2023medalpp,physical_run,each of four reported tasks,aggregate_robot_hours,10–30,h,final task performance,no,fixed long-run curves; first passage NR,first physical interaction or compute step in the named phase/task,source-reported checkpoint or fixed end of the named phase/task,yes: per-task range,PDF p.7 Figs. 5–6 and Table 6,A,source_reported,Per-task run range; operator time and repeated-run totals are not reported.
